M- 278
Integration time: 3000 ms
Average: 1 scans
Nr of pixels used for smoothing: 0
Data measured with spectrometer serial number: 0604021S1
Wave   ;Sample
[nm]   ;[counts]
748,47;400,00
749,04;429,00
749,60;405,00
750,16;494,00
750,72;342,00
751,29;239,00
751,85;160,00
752,41;123,00
752,98;163,00
753,54;127,00
754,10;138,00
754,66;95,000
755,23;113,00
755,79;76,000
756,35;140,00
756,91;119,00
757,48;187,00
758,04;186,00
758,60;102,00
759,16;145,00
759,73;142,00
760,29;155,00
760,85;173,00
761,41;149,00
761,98;187,00
762,54;136,00
763,10;100,000
763,66;54,000
764,22;153,00
764,79;157,00
765,35;112,00
765,91;125,00
766,47;147,00
767,03;75,000
767,59;150,00
768,16;185,00
768,72;140,00
769,28;62,000
769,84;50,000
770,40;53,000
770,96;158,00
771,52;154,00
772,09;135,00
772,65;120,00
773,21;205,00
773,77;62,000
774,33;82,000
774,89;243,00
775,45;163,00
776,01;127,00
776,57;289,00
777,13;604,00
777,70;759,00
778,26;752,00
778,82;711,00
779,38;769,00
779,94;804,00
780,50;696,00
781,06;395,00
781,62;193,00
782,18;71,000
782,74;42,000
783,30;47,000
783,86;55,000
784,42;69,000
784,98;24,000
785,54;49,000
786,10;147,00
786,66;66,000
787,22;31,000
787,78;56,000
788,34;3,0000
788,90;52,000
789,46;71,000
790,02;154,00
790,58;95,000
791,14;68,000
791,70;75,000
792,26;76,000
792,82;46,000
793,38;58,000
793,94;42,000
794,50;108,00
795,06;67,000
795,62;51,000
796,17;114,00
796,73;124,00
797,29;74,000
797,85;123,00
798,41;85,000
798,97;84,000
799,53;46,000
800,09;65,000
800,65;130,00
801,21;21,000
801,76;16,000
802,32;88,000
802,88;104,00
803,44;-21,000
804,00;63,000
804,56;75,000
805,12;118,00
805,67;54,000
806,23;95,000
806,79;55,000
807,35;52,000
807,91;15,000
808,46;36,000
809,02;69,000
809,58;72,000
810,14;69,000
810,70;77,000
811,26;79,000
811,81;50,000
812,37;58,000
812,93;29,000
813,49;126,00
814,04;104,00
814,60;28,000
815,16;132,00
815,72;103,00
816,27;114,00
816,83;7,0000
817,39;66,000
817,95;52,000
818,50;136,00
819,06;240,00
819,62;196,00
820,18;141,00
820,73;225,00
821,29;341,00
821,85;472,00
822,40;374,00
822,96;323,00
823,52;298,00
824,07;321,00
824,63;353,00
825,19;325,00
825,74;211,00
826,30;133,00
826,86;200,00
827,41;69,000
827,97;103,00
828,53;80,000
829,08;25,000
829,64;59,000
830,20;54,000
830,75;86,000
831,31;58,000
831,86;44,000
832,42;67,000
832,98;68,000
833,53;-17,000
834,09;27,000
834,64;115,00
835,20;34,000
835,76;58,000
836,31;107,00
836,87;133,00
837,42;27,000
837,98;68,000
838,53;98,000
839,09;-9,0000
839,64;64,000
840,20;81,000
840,75;32,000
841,31;122,00
841,87;134,00
842,42;66,000
842,98;15,000
843,53;28,000
844,09;56,000
844,64;135,00
845,20;231,00
845,75;213,00
846,31;123,00
846,86;213,00
847,41;106,00
847,97;137,00
848,52;183,00
849,08;148,00
849,63;54,000
850,19;64,000
850,74;49,000
851,30;22,000
851,85;46,000
852,41;68,000
852,96;39,000
853,51;49,000
854,07;-48,000
854,62;42,000
855,18;86,000
855,73;12,000
856,28;136,00
856,84;54,000
857,39;72,000
857,95;88,000
858,50;105,00
859,05;135,00
859,61;79,000
860,16;149,00
860,71;155,00
861,27;88,000
861,82;75,000
862,37;89,000
862,93;179,00
863,48;85,000
864,03;83,000
864,59;122,00
865,14;143,00
865,69;106,00
866,25;310,00
866,80;184,00
867,35;146,00
867,90;241,00
868,46;275,00
869,01;266,00
869,56;306,00
870,12;342,00
870,67;348,00
871,22;429,00
871,77;372,00
872,33;218,00
872,88;233,00
873,43;138,00
873,98;174,00
874,54;184,00
875,09;62,000
875,64;34,000
876,19;133,00
876,74;96,000
877,30;67,000
877,85;278,00
878,40;92,000
878,95;-6,0000
879,50;57,000
880,06;29,000
880,61;-17,000
881,16;108,00
881,71;79,000
882,26;101,00
882,81;47,000
883,37;13,000
883,92;134,00
884,47;23,000
885,02;76,000
885,57;51,000
886,12;36,000
886,67;124,00
887,22;120,00
887,78;70,000
888,33;82,000
888,88;7,0000
889,43;57,000
889,98;56,000
890,53;53,000
891,08;92,000
891,63;129,00
892,18;110,00
